partido_id,mundial,fase,grupo,jornada,fecha,equipo_local,equipo_visitante,goles_local,goles_visitante,marcador,local_es_anfitrion,visitante_es_anfitrion,fuente,goles_totales,diferencia_goles,resultado_local
M-2026-068,2026,Fase de grupos,L,1,2026-06-18,Ghana,Panama,1,0,1-0,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_L,1,1,Gana
M-2026-015,2026,Fase de grupos,C,2,2026-06-19,Scotland,Morocco,0,1,0-1,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C,1,-1,Pierde
M-2026-016,2026,Fase de grupos,C,2,2026-06-19,Brazil,Haiti,3,0,3-0,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C,3,3,Gana
M-2026-021,2026,Fase de grupos,D,2,2026-06-19,United States,Australia,2,0,2-0,True,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_D,2,2,Gana
M-2026-022,2026,Fase de grupos,D,2,2026-06-20,Turkey,Paraguay,0,1,0-1,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_D,1,-1,Pierde
M-2026-027,2026,Fase de grupos,E,2,2026-06-20,Germany,Ivory Coast,2,1,2-1,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_E,3,1,Gana
M-2026-028,2026,Fase de grupos,E,2,2026-06-20,Ecuador,Curacao,0,0,0-0,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_E,0,0,Empata
M-2026-033,2026,Fase de grupos,F,2,2026-06-20,Netherlands,Sweden,5,1,5-1,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_F,6,4,Gana
M-2026-034,2026,Fase de grupos,F,2,2026-06-20,Tunisia,Japan,0,4,0-4,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_F,4,-4,Pierde
M-2026-039,2026,Fase de grupos,G,2,2026-06-21,Belgium,Iran,0,0,0-0,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_G,0,0,Empata
M-2026-040,2026,Fase de grupos,G,2,2026-06-21,New Zealand,Egypt,1,3,1-3,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_G,4,-2,Pierde
M-2026-045,2026,Fase de grupos,H,2,2026-06-21,Spain,Saudi Arabia,4,0,4-0,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_H,4,4,Gana
